,realtime_start,realtime_end,date,value
392,2024-12-12,2024-12-12,1980-09-01,7.5
393,2024-12-12,2024-12-12,1980-10-01,7.5
394,2024-12-12,2024-12-12,1980-11-01,7.5
395,2024-12-12,2024-12-12,1980-12-01,7.2
396,2024-12-12,2024-12-12,1981-01-01,7.5
397,2024-12-12,2024-12-12,1981-02-01,7.4
398,2024-12-12,2024-12-12,1981-03-01,7.4
399,2024-12-12,2024-12-12,1981-04-01,7.2
400,2024-12-12,2024-12-12,1981-05-01,7.5
401,2024-12-12,2024-12-12,1981-06-01,7.5
402,2024-12-12,2024-12-12,1981-07-01,7.2
403,2024-12-12,2024-12-12,1981-08-01,7.4
404,2024-12-12,2024-12-12,1981-09-01,7.6
405,2024-12-12,2024-12-12,1981-10-01,7.9
406,2024-12-12,2024-12-12,1981-11-01,8.3
407,2024-12-12,2024-12-12,1981-12-01,8.5
408,2024-12-12,2024-12-12,1982-01-01,8.6
409,2024-12-12,2024-12-12,1982-02-01,8.9
410,2024-12-12,2024-12-12,1982-03-01,9.0
411,2024-12-12,2024-12-12,1982-04-01,9.3
412,2024-12-12,2024-12-12,1982-05-01,9.4
413,2024-12-12,2024-12-12,1982-06-01,9.6
414,2024-12-12,2024-12-12,1982-07-01,9.8
415,2024-12-12,2024-12-12,1982-08-01,9.8
416,2024-12-12,2024-12-12,1982-09-01,10.1
417,2024-12-12,2024-12-12,1982-10-01,10.4
418,2024-12-12,2024-12-12,1982-11-01,10.8
419,2024-12-12,2024-12-12,1982-12-01,10.8
420,2024-12-12,2024-12-12,1983-01-01,10.4
421,2024-12-12,2024-12-12,1983-02-01,10.4
422,2024-12-12,2024-12-12,1983-03-01,10.3
423,2024-12-12,2024-12-12,1983-04-01,10.2
424,2024-12-12,2024-12-12,1983-05-01,10.1
425,2024-12-12,2024-12-12,1983-06-01,10.1
426,2024-12-12,2024-12-12,1983-07-01,9.4
427,2024-12-12,2024-12-12,1983-08-01,9.5
428,2024-12-12,2024-12-12,1983-09-01,9.2
429,2024-12-12,2024-12-12,1983-10-01,8.8
430,2024-12-12,2024-12-12,1983-11-01,8.5
431,2024-12-12,2024-12-12,1983-12-01,8.3
432,2024-12-12,2024-12-12,1984-01-01,8.0
433,2024-12-12,2024-12-12,1984-02-01,7.8
434,2024-12-12,2024-12-12,1984-03-01,7.8
435,2024-12-12,2024-12-12,1984-04-01,7.7
436,2024-12-12,2024-12-12,1984-05-01,7.4
437,2024-12-12,2024-12-12,1984-06-01,7.2
438,2024-12-12,2024-12-12,1984-07-01,7.5
439,2024-12-12,2024-12-12,1984-08-01,7.5
440,2024-12-12,2024-12-12,1984-09-01,7.3
441,2024-12-12,2024-12-12,1984-10-01,7.4
442,2024-12-12,2024-12-12,1984-11-01,7.2
443,2024-12-12,2024-12-12,1984-12-01,7.3
444,2024-12-12,2024-12-12,1985-01-01,7.3
445,2024-12-12,2024-12-12,1985-02-01,7.2
446,2024-12-12,2024-12-12,1985-03-01,7.2
447,2024-12-12,2024-12-12,1985-04-01,7.3
448,2024-12-12,2024-12-12,1985-05-01,7.2
449,2024-12-12,2024-12-12,1985-06-01,7.4
450,2024-12-12,2024-12-12,1985-07-01,7.4
451,2024-12-12,2024-12-12,1985-08-01,7.1
452,2024-12-12,2024-12-12,1985-09-01,7.1
453,2024-12-12,2024-12-12,1985-10-01,7.1
454,2024-12-12,2024-12-12,1985-11-01,7.0
455,2024-12-12,2024-12-12,1985-12-01,7.0
456,2024-12-12,2024-12-12,1986-01-01,6.7
457,2024-12-12,2024-12-12,1986-02-01,7.2
458,2024-12-12,2024-12-12,1986-03-01,7.2
459,2024-12-12,2024-12-12,1986-04-01,7.1
460,2024-12-12,2024-12-12,1986-05-01,7.2
461,2024-12-12,2024-12-12,1986-06-01,7.2
462,2024-12-12,2024-12-12,1986-07-01,7.0
