,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
83,221.66,221.755,217.48,220.85,43617462.0,221.78,217.48,220.85,221.66,43262758.0,1.0,0.0,AAPL,XNAS,2024-09-04T00:00:00+0000
84,228.61,229.0,221.17,222.77,48082190.0,229.0,221.17,222.77,228.55,50190574.0,1.0,0.0,AAPL,XNAS,2024-09-03T00:00:00+0000
85,230.19,230.4,227.48,229.0,52990770.0,230.4,227.48,229.0,230.19,52990770.0,1.0,0.0,AAPL,XNAS,2024-08-30T00:00:00+0000
86,230.28,232.92,228.88,229.79,51342429.0,232.92,228.88,229.79,230.1,51906297.0,1.0,0.0,AAPL,XNAS,2024-08-29T00:00:00+0000
87,228.05,229.85,225.6801,226.49,37794932.0,229.86,225.68,226.49,227.92,38052167.0,1.0,0.0,AAPL,XNAS,2024-08-28T00:00:00+0000
88,226.2101,228.79,224.89,228.03,35851754.0,228.85,224.89,228.03,225.995,35934559.0,1.0,0.0,AAPL,XNAS,2024-08-27T00:00:00+0000
89,227.21,227.28,223.8905,227.18,29834257.0,227.28,223.8905,227.18,226.76,30602208.0,1.0,0.0,AAPL,XNAS,2024-08-26T00:00:00+0000
90,225.66,228.22,224.33,226.84,38629400.0,228.22,224.33,226.84,225.6589,38677250.0,1.0,0.0,AAPL,XNAS,2024-08-23T00:00:00+0000
91,227.6,228.34,223.9,224.53,43434198.0,228.34,223.9,224.53,227.79,43695321.0,1.0,0.0,AAPL,XNAS,2024-08-22T00:00:00+0000
92,226.49,227.98,225.191,226.4,33246786.0,227.98,225.05,226.4,226.52,34765480.0,1.0,0.0,AAPL,XNAS,2024-08-21T00:00:00+0000
93,225.77,227.17,225.45,226.51,30241200.0,227.17,225.45,226.51,225.77,30299033.0,1.0,0.0,AAPL,XNAS,2024-08-20T00:00:00+0000
94,225.72,225.99,223.04,225.89,40639000.0,225.99,223.04,225.89,225.72,40687813.0,1.0,0.0,AAPL,XNAS,2024-08-19T00:00:00+0000
95,223.92,226.83,223.65,226.05,44289900.0,226.8271,223.6501,226.05,223.92,44340240.0,1.0,0.0,AAPL,XNAS,2024-08-16T00:00:00+0000
96,224.6,225.35,222.76,224.72,46335300.0,225.35,222.76,224.72,224.6,46414013.0,1.0,0.0,AAPL,XNAS,2024-08-15T00:00:00+0000
97,220.57,223.03,219.7,221.72,41888500.0,223.03,219.7,221.72,220.57,41960574.0,1.0,0.0,AAPL,XNAS,2024-08-14T00:00:00+0000
98,219.01,221.89,219.01,221.27,44095400.0,221.89,219.01,221.27,219.01,44155331.0,1.0,0.0,AAPL,XNAS,2024-08-13T00:00:00+0000
99,216.07,219.51,215.6,217.53,37992400.0,219.5099,215.6,217.53,216.07,38028092.0,1.0,0.25,AAPL,XNAS,2024-08-12T00:00:00+0000
